name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Suzuki,4.1,(6.9k Reviews),Private,"Vadodara/Baroda,Gujarat + 126 more",8 years old,1k-5k Employees (India)
GeBBS Healthcare...,3.9,(1.5k Reviews),Private,"Culver City,California + 10 more",17 years old,5k-10k Employees (India)
Escorts Group,4.2,(1.6k Reviews),Public,"Faridabad,Haryana + 90 more",62 years old,5k-10k Employees (India)
Blue Dart Expres...,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 182 more",39 years old,10k-50k Employees (India)
G4S,4.2,(1.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 96 more",26 years old,1 Lakh+ Employees (India)
Life Insurance C...,4.3,(1.4k Reviews),Private,Mumbai + 336 more,66 years old,1 Lakh+ Employees (India)
Nestle,4.1,(1.6k Reviews),Public,Vevey + 168 more,63 years old,5k-10k Employees (India)
Berger Paints,3.8,(1.5k Reviews),Public,"Kolkata,West Bengal + 169 more",99 years old,1k-5k Employees (India)
Aakash Institute,3.6,(1.7k Reviews),Private,"New Delhi,Delhi + 131 more",34 years old,1k-5k Employees (India)
Fiserv,3.9,(1.4k Reviews),Private,"Brookfield,Wisconsin + 26 more",51 years old,501-1k Employees (India)
Utkarsh Small Fi...,4,(1.4k Reviews),Public,"Varanasi,Uttar Pradesh + 195 more",13 years old,1k-5k Employees (India)
Delhi Public Sch...,3.9,(1.4k Reviews),Public,"Greater Noida,Uttar Pradesh + 200 more",24 years old,1k-5k Employees (India)
Tata AIG General...,4.1,(1.4k Reviews),Private,"Mumbai,Maharashtra + 171 more",22 years old,5k-10k Employees (India)
Mankind Pharma,4.2,(1.6k Reviews),Private,"New Delhi,Delhi + 135 more",27 years old,5k-10k Employees (India)
JMC Projects,4.4,(1.4k Reviews),Public,"Mumbai,Maharashtra + 87 more",40 years old,1k-5k Employees (India)
AFCONS Infrastru...,4.5,(1.4k Reviews),Partnership,"Mumbai,Maharashtra + 69 more",63 years old,5k-10k Employees (India)
Voltas,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 131 more",68 years old,5k-10k Employees (India)
Reliance Digital,4.3,(1.4k Reviews),Private,"Mumbai,Maharashtra + 206 more",15 years old,1k-5k Employees (India)
PolicyBazaar,3.7,(1.4k Reviews),Public,"Gurgaon,Haryana + 27 more",14 years old,5k-10k Employees (India)
Cogent E Service...,3.4,(1.4k Reviews),Private,"Noida,Uttar Pradesh + 27 more",18 years old,10k-50k Employees (India)
IndiGo,3.5,(1.4k Reviews),Private,"Boston,Massachusetts + 69 more",17 years old,10k-50k Employees (India)
Raymond,4.1,(1.6k Reviews),Public,"Thane,Maharashtra + 101 more",97 years old,1k-5k Employees (India)
Aarti Industries,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 31 more",47 years old,1k-5k Employees (India)
Sapient Corporat...,3.9,(1.5k Reviews),Private,"New York,New York + 15 more",32 years old,5k-10k Employees (India)
NIIT Technologie...,3.5,(1.3k Reviews),Public,"Noida,Uttar Pradesh + 77 more",18 years old,5k-10k Employees (India)
I Process Servic...,4,(1.3k Reviews),Private,"Mumbai,Maharashtra + 190 more",17 years old,1k-5k Employees (India)
DHFL,4.6,(1.3k Reviews),Public,"Mumbai,Maharashtra + 191 more",38 years old,1k-5k Employees (India)
ADP Solutions,4.2,(1.3k Reviews),Public,"Roseland,Louisiana + 10 more",73 years old,1k-5k Employees (India)
BHEL,4.3,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 83 more",58 years old,10k-50k Employees (India)
PVR Cinemas,4.3,(1.3k Reviews),Public,Gurgaon + 86 more,25 years old,1k-5k Employees (India)
R1 RCM,4,(1.3k Reviews),Private,"Chicago,Illinois + 13 more",19 years old,1k-5k Employees (India)
Aditya Birla Gro...,4.2,(13k Reviews),"Mumbai,Maharashtra + 179 more",165 years old,1 Lakh+ Employees (India),
Birla Sun Life I...,4.3,(1.3k Reviews),Private,"Mumbai,Maharashtra + 266 more",22 years old,10k-50k Employees (India)
Exide Industries,3.8,(2.6k Reviews),Public,"Kolkata,West Bengal + 157 more",75 years old,1k-5k Employees (India)
Poonawalla Finco...,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 240 more",34 years old,5k-10k Employees (India)
ACT Fibernet,4.1,(1.3k Reviews),Private,"Daegu,Daegu + 32 more",22 years old,5k-10k Employees (India)
Micro Labs,3.8,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 93 more",49 years old,5k-10k Employees (India)
R.R. Donnelley,4.1,(1.3k Reviews),Private,"Chicago,Illinois + 9 more",158 years old,5k-10k Employees (India)
Ajanta Pharma,4,(1.3k Reviews),Public,"Mumbai,Maharashtra + 82 more",49 years old,1k-5k Employees (India)
Access Healthcar...,4.1,(1.3k Reviews),Private,"Dallas,Texas + 15 more",11 years old,1k-5k Employees (India)
The Himalaya Dru...,4.2,(1.3k Reviews),Private,"San Francisco,California + 145 more",92 years old,1k-5k Employees (India)
United Phosphoru...,4.3,(1.3k Reviews),Public,"Mumbai,Maharashtra + 106 more",53 years old,1k-5k Employees (India)
Zensar Technolog...,3.8,(1.3k Reviews),Public,"Pune,Maharashtra + 17 more",31 years old,10k-50k Employees (India)
Cholamandalam MS...,4,(1.3k Reviews),JV,"Chennai,Tamil Nadu + 264 more",21 years old,50k-1 Lakh Employees (India)
Emcure Pharmaceu...,4,(1.4k Reviews),Private,Pune + 77 more,41 years old,5k-10k Employees (India)
Renault-Nissan,4.1,(1.3k Reviews),"Chennai,Tamil Nadu + 58 more",12 years old,5k-10k Employees (India),
Persistent Syste...,4.2,(1.3k Reviews),Public,"Pune,Maharashtra + 6 more",32 years old,10k-50k Employees (India)
Walmart,4.2,(11.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 67 more",13 years old,5k-10k Employees (India)
café Coffee day,4.1,(1.3k Reviews),Private,"Bengaluru,Karnataka + 78 more",26 years old,1k-5k Employees (India)
Blue Star,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 99 more",79 years old,1k-5k Employees (India)
Sterling & Wilso...,4.1,(1.3k Reviews),Private,"Mumbai,Maharashtra + 65 more",95 years old,1k-5k Employees (India)
Honda,4.2,(3.1k Reviews),Private,"Greater Noida,Uttar Pradesh + 161 more",37 years old,5k-10k Employees (India)
Statestreet HCL ...,3.4,(1.3k Reviews),Private,New Delhi + 10 more,10 years old,5k-10k Employees (India)
InterGlobe Techn...,3.6,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 29 more",24 years old,1k-5k Employees (India)
Exide Life Insur...,3.7,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 182 more",21 years old,1k-5k Employees (India)
Britannia,4.2,(1.3k Reviews),Public,"Reading,Reading + 157 more",130 years old,1k-5k Employees (India)
Bhushan Power & ...,4,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 48 more",52 years old,501-1k Employees (India)
HDFC Sales,4.1,(1.2k Reviews),Private,"Mumbai,Maharashtra + 210 more",18 years old,10k-50k Employees (India)
TVS Sundram Fast...,3.9,(1.2k Reviews),Public,"Chennai,Tamil Nadu + 34 more",56 years old,5k-10k Employees (India)
Big Bazaar,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 148 more",21 years old,10k-50k Employees (India)
Mahindra Holiday...,3.8,(1.2k Reviews),Private,"Chennai,Tamil Nadu + 85 more",26 years old,1k-5k Employees (India)
Sonalika Tractor...,3.9,(1.2k Reviews),Private,"Hoshiarpur,Punjab + 114 more",53 years old,1k-5k Employees (India)
Shahi Exports,4.1,(1.2k Reviews),Private,"Faridabad,Haryana + 47 more",48 years old,1 Lakh+ Employees (India)
Birlasoft,3.8,(1.2k Reviews),Public,"Pune,Maharashtra + 21 more",27 years old,5k-10k Employees (India)
Indian Navy,4.6,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 55 more",72 years old,50k-1 Lakh Employees (India)
AGS Health,4.1,(1.2k Reviews),Private,"Chennai,Tamil Nadu + 19 more",11 years old,1k-5k Employees (India)
Dalmia Bharat Ce...,4.1,(1.3k Reviews),Public,"Delhi/NCR,New Delhi + 128 more",87 years old,1k-5k Employees (India)
Tata Technologie...,3.5,(1.2k Reviews),Private,Singapore + 30 more,33 years old,5k-10k Employees (India)
Ambuja Cements,4,(1.2k Reviews),Public,"Mumbai,Maharashtra + 159 more",39 years old,5k-10k Employees (India)
Mahindra Rural H...,4.2,(1.2k Reviews),Public,"Mumbai,Maharashtra + 279 more",15 years old,5k-10k Employees (India)
Force Motors,3.4,(1.2k Reviews),Public,"Pune,Maharashtra + 71 more",64 years old,1k-5k Employees (India)
Lenskart,3,(1.2k Reviews),Private,"Delhi,NCT + 97 more",12 years old,1k-5k Employees (India)
Thomson Reuters,4.4,(1.2k Reviews),Private,Toronto + 17 more,28 years old,10k-50k Employees (India)
Societe Generale,3.9,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,1k-5k Employees (India)
Brakes India,4.2,(1.2k Reviews),"Chennai,Tamil Nadu + 52 more",60 years old,1k-5k Employees (India),
Johnson Controls,4,(1.9k Reviews),Public,Cork + 50 more,27 years old,5k-10k Employees (India)
3i Infotech,3.7,(1.2k Reviews),Public,"Mumbai,Maharashtra + 81 more",29 years old,5k-10k Employees (India)
Wockhardt,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 68 more",23 years old,5k-10k Employees (India)
Amara Raja Group,4.2,(1.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",37 years old,10k-50k Employees (India)
Indiabulls,3.8,(3.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 139 more",22 years old,10k-50k Employees (India)
Sobha,4,(1.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 32 more",27 years old,1k-5k Employees (India)
UNO Minda,4.1,(1.2k Reviews),Gurgaon + 56 more,64 years old,1k-5k Employees (India),
JK Tyres,3.8,(1.2k Reviews),Private,New Delhi + 106 more,71 years old,1k-5k Employees (India)
TVS Credit Servi...,4.3,(1.1k Reviews),Public,"Chennai,Tamil Nadu + 194 more",14 years old,10k-50k Employees (India)
Indus Towers,4.1,(1.1k Reviews),Private,"Gurgaon,Haryana + 95 more",15 years old,1k-5k Employees (India)
GE,4.2,(2k Reviews),Private,"Boston,Massachusetts + 52 more",130 years old,10k-50k Employees (India)
Whirlpool,4.2,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 109 more",20 years old,1k-5k Employees (India)
Parle Agro,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 129 more",38 years old,1k-5k Employees (India)
GVK Emergency Ma...,3.8,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 97 more",17 years old,10k-50k Employees (India)
DS Group,4.1,(1.2k Reviews),Private,"Noida,Uttar Pradesh + 115 more",93 years old,1k-5k Employees (India)
Adani Power,4.1,(1.3k Reviews),Public,"Ahmedabad,Gujrat + 79 more",16 years old,1k-5k Employees (India)
V-mart,4.4,(1.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 182 more",20 years old,5k-10k Employees (India)
Shriram City,4.2,(1.1k Reviews),Public,"Chennai,Tamil Nadu + 326 more",36 years old,10k-50k Employees (India)
Crompton Greaves,3.9,(1.1k Reviews),Public,"Mumbai,Maharashtra + 85 more",85 years old,1k-5k Employees (India)
Shree Cement,4.3,(1.1k Reviews),Public,"Kolkata,West Bengal + 126 more",43 years old,5k-10k Employees (India)
Legato Health Te...,4.1,(1.1k Reviews),"Bangalore/Bengaluru,Karnataka + 8 more",5 years old,5k-10k Employees (India),
Tata Motors Fina...,4.3,(1.1k Reviews),Private,"Mumbai,Maharashtra + 194 more",65 years old,1k-5k Employees (India)
Saint-Gobain,4.1,(1.2k Reviews),Private,Paris + 66 more,357 years old,10k-50k Employees (India)
GSK Pharmaceutic...,4.3,(1.1k Reviews),Middlesex + 130 more,192 years old,1k-5k Employees (India),
Bharti AXA Life ...,3.9,(1.1k Reviews),Private,Mumbai + 191 more,16 years old,5k-10k Employees (India)
Delphi TVS,4,(1.1k Reviews),Private,"Kanchipuram,Tamil Nadu + 23 more",33 years old,1k-5k Employees (India)
Karvy Data Manag...,3.5,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 87 more",14 years old,1k-5k Employees (India)
Sterlite Technol...,4.2,(1.1k Reviews),Public,"Pune,Maharashtra + 52 more",34 years old,5k-10k Employees (India)
Reliance Trends,4.3,(1.1k Reviews),Private,"Navi Mumbai,Maharashtra + 233 more",16 years old,1 Lakh+ Employees (India)
Yamaha Motor,3.9,(1.2k Reviews),Private,"Iwata,Shizuoka + 101 more",15 years old,1k-5k Employees (India)
Hyatt Regency,4.3,(1.1k Reviews),Private,"New Delhi,Delhi + 38 more",42 years old,1k-5k Employees (India)
Gabriel India,4.3,(1.1k Reviews),Public,"Pune,Maharashtra + 33 more",61 years old,1k-5k Employees (India)
SRF,4.3,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 38 more",52 years old,1k-5k Employees (India)
Datamatics Globa...,3.7,(1.6k Reviews),Public,Mumbai + 23 more,47 years old,1k-5k Employees (India)
ICICI Securities,3.7,(1.1k Reviews),Public,"Mumbai,Maharashtra + 94 more",27 years old,5k-10k Employees (India)
Sigma Electric M...,3.9,(1.1k Reviews),Private,"Garner,North Carolina + 17 more",40 years old,1k-5k Employees (India)
Oberoi Group of ...,4.3,(1.1k Reviews),Private,"Delhi/NCR,Delhi + 31 more",88 years old,1k-5k Employees (India)
Tech Mahindra Bu...,3.5,(1.1k Reviews),Public,"Mumbai,Maharashtra + 31 more",19 years old,1k-5k Employees (India)
Reliance SMSL,4.2,(1.1k Reviews),Public,Mumbai + 288 more,15 years old,1k-5k Employees (India)
Jet Airways,4.6,(1.1k Reviews),Public,"Mumbai,Maharashtra + 48 more",29 years old,10k-50k Employees (India)
BT Group,4.3,(1.9k Reviews),Private,London + 12 more,176 years old,5k-10k Employees (India)
Lodha group,4.2,(1.1k Reviews),Private,"Mumbai,Maharashtra + 16 more",42 years old,1k-5k Employees (India)
Quest Global,3.6,(1.1k Reviews),Private,Singapore + 23 more,25 years old,10k-50k Employees (India)
AXA Business Ser...,3.9,(1.1k Reviews),Private,Paris + 5 more,27 years old,1k-5k Employees (India)
Endurance Techno...,3.8,(1.1k Reviews),Public,"Aurangabad,Maharashtra + 28 more",37 years old,1k-5k Employees (India)
Myntra,4.3,(1.1k Reviews),Private,"Bangalore,Karnataka + 81 more",15 years old,1k-5k Employees (India)
Lucas-TVS,4,(1.3k Reviews),Private,"Chennai,Tamil Nadu + 46 more",61 years old,1k-5k Employees (India)
Piramal Group,4.1,(1.3k Reviews),Private,Mumbai + 96 more,42 years old,1k-5k Employees (India)
Novartis Healthc...,4.1,(1.3k Reviews),Public,"Mumbai,Maharashtra + 56 more",26 years old,1k-5k Employees (India)
IKS Health,3.5,(1.1k Reviews),Private,"Mumbai,Maharashtra + 9 more",15 years old,1k-5k Employees (India)
Future Generali ...,4,(1.1k Reviews),Private,Mumbai + 139 more,15 years old,1k-5k Employees (India)
Kalpataru Power ...,4.1,(1.1k Reviews),Public,"Mumbai,Maharashtra + 131 more",41 years old,1k-5k Employees (India)
Bharat Petroleum,4.1,(1.1k Reviews),Private,"Mumbai,Maharashtra + 172 more",70 years old,50k-1 Lakh Employees (India)
Kansai Nerolac P...,3.9,(1.1k Reviews),Public,"Mumbai,Maharashtra + 118 more",102 years old,1k-5k Employees (India)
Sopra Steria,4.2,(1.1k Reviews),Private,"Paris,Ile-de-France + 9 more",54 years old,5k-10k Employees (India)
Cadila Pharmaceu...,4,(5.9k Reviews),Public,"Ahmedabad,Gujrat + 93 more",71 years old,5k-10k Employees (India)
Grasim Industrie...,4.2,(6.8k Reviews),Public,Nagda + 49 more,75 years old,10k-50k Employees (India)
Mahindra Logisti...,4.2,(1.1k Reviews),Public,"Mumbai,Maharashtra + 91 more",22 years old,1k-5k Employees (India)
Aircel,4.4,(1.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 113 more",23 years old,5k-10k Employees (India)
Tata Capital Fin...,4.3,(1.1k Reviews),Public,Mumbai + 118 more,15 years old,1k-5k Employees (India)
Coromandel Inter...,4.2,(1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 126 more",61 years old,10k-50k Employees (India)
Parle Products,4.1,(1k Reviews),Private,Mumbai + 135 more,93 years old,1k-5k Employees (India)
State Street Cor...,3.8,(1.2k Reviews),Private,"Boston,Massachusetts + 12 more",12 years old,5k-10k Employees (India)
Power Mech Proje...,3.8,(1k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 83 more",15 years old,1k-5k Employees (India)
MetLife,4.4,(1k Reviews),Private,New York + 40 more,14 years old,5k-10k Employees (India)
JCB,4,(1k Reviews),Private,"Rocester,Staffordshire + 70 more",77 years old,1k-5k Employees (India)
CSS Corp,3.7,(1k Reviews),Private,"San Jose,California + 20 more",26 years old,5k-10k Employees (India)
Taj Hotels Resor...,4.3,(1k Reviews),"Mumbai,Maharashtra + 61 more",119 years old,10k-50k Employees (India),
BlackBuck,4,(1k Reviews),Private,"Bangalore,Karnataka + 165 more",7 years old,1k-5k Employees (India)
Shell,4.3,(1.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 67 more",18 years old,5k-10k Employees (India)
Info Edge,3.9,(1.6k Reviews),Public,"Noida,Uttar Pradesh + 50 more",27 years old,1k-5k Employees (India)
Bureau Veritas,4,(1k Reviews),Private,La Défense + 71 more,194 years old,1k-5k Employees (India)
IDBI Bank,3.8,(1.9k Reviews),Public,"Mumbai,Maharashtra + 235 more",58 years old,10k-50k Employees (India)
BA Continuum,4.4,(1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",19 years old,10k-50k Employees (India)
Aon,4,(1k Reviews),Private,London + 17 more,82 years old,10k-50k Employees (India)
Barclays,4.2,(1.1k Reviews),Private,London + 21 more,332 years old,10k-50k Employees (India)
CMS Infosystems,3.7,(1k Reviews),Private,"Mumbai,Maharashtra + 126 more",14 years old,5k-10k Employees (India)
Cybage,4,(1k Reviews),Private,"Pune,Maharashtra + 5 more",27 years old,5k-10k Employees (India)
Narayana Health,4.3,(1k Reviews),"Bangalore/Bengaluru,Karnataka + 49 more",22 years old,10k-50k Employees (India),
Blinkit,3.8,(1k Reviews),Private,"Gurgaon,Haryana + 44 more",9 years old,5k-10k Employees (India)
Hindustan Aerona...,4.4,(1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 34 more",82 years old,10k-50k Employees (India)
