name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
PepsiCo,4.1,(1.7k Reviews),Private,"Harrison,New York + 195 more",33 years old,1 Lakh+ Employees (India)
Conduent,3.6,(1.7k Reviews),Private,"Florham Park,New Jersey + 17 more",5 years old,5k-10k Employees (India)
KocharTech,4.4,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",27 years old,5k-10k Employees (India)
Maersk,4.4,(1.6k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
MRF Tyres,3.7,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India)
Jindal Steel and...,4,(2k Reviews),Private,"Delhi/NCR,New Delhi + 85 more",70 years old,5k-10k Employees (India)
Huawei Technolog...,3.8,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 85 more",20 years old,1k-5k Employees (India)
Torrent Pharmace...,4.1,(1.6k Reviews),Public,"Ahmedabad,Gujrat + 84 more",51 years old,5k-10k Employees (India)
Team Lease,4.1,(1.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 174 more",6 years old,1k-5k Employees (India)
Rivigo,3.9,(1.6k Reviews),Private,"Gurgaon,Haryana + 141 more",8 years old,1k-5k Employees (India)
Vishal Mega Mart,3.9,(1.6k Reviews),Private,"Ahmedabad,Gujrat + 228 more",14 years old,5k-10k Employees (India)
ACC,4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 163 more",86 years old,5k-10k Employees (India)
RSPL Group,4.1,(1.6k Reviews),Private,"Mumbai,Maharashtra + 130 more",35 years old,1k-5k Employees (India)
Capita,3.9,(1.6k Reviews),Private,"Indore,Madhya Pradesh + 17 more",17 years old,1k-5k Employees (India)
Radisson Hotels,3.9,(1.6k Reviews),Private,"Minnetonka,Minnesota + 86 more",113 years old,10k-50k Employees (India)
Ceat Tyres,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 91 more",64 years old,5k-10k Employees (India)
Dilip Buildcon,4.1,(1.6k Reviews),Public,"Bhopal,Madhya Pradesh + 132 more",35 years old,10k-50k Employees (India)
CARS24.com,3.8,(1.6k Reviews),Private,"Gurgaon,Haryana + 126 more",7 years old,5k-10k Employees (India)
KPIT Technologie...,3.6,(1.6k Reviews),Public,"Pune,Maharashtra + 21 more",32 years old,5k-10k Employees (India)
Patanjali Ayurve...,4,(1.6k Reviews),Private,"Haridwar,Uttarakhand + 209 more",16 years old,5k-10k Employees (India)
Dabur,4.2,(1.6k Reviews),Public,"Ghaziabad,Uttar Pradesh + 172 more",138 years old,5k-10k Employees (India)
RBL Bank,3.8,(1.6k Reviews),Public,"Mumbai,Maharashtra + 171 more",79 years old,1k-5k Employees (India)
